what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wb.discovery.core,1.5.1.r42x201209181202,"org.eclipse.wb.discovery.core",1645689062045
started,bundle,org.eclipse.wb.discovery.ui,1.5.1.r42x201209181202,"org.eclipse.wb.discovery.ui",1645689062046
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1645689062046
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1645689062047
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1645689062048
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1645689062049
started,bundle,com.objectaid.uml,1.1.7,"com.objectaid.uml",1645689062049
started,bundle,de.itemis.xtext.utils.jface,1.0.0.201205141449,"de.itemis.xtext.utils.jface",1645689062049
started,bundle,net.sf.eclipsensis.startup,0.9.8.1,"net.sf.eclipsensis.startup",1645689062049
started,bundle,net.sf.eclipsensis.update,0.9.8.1,"net.sf.eclipsensis.update",1645689062050
started,bundle,org.eclipse.draw2d,3.7.2.v20111017-2020,"org.eclipse.draw2d",1645689062051
started,bundle,org.eclipse.emf.common,2.10.1.v20140901-1043,"org.eclipse.emf.common",1645689062051
started,bundle,org.eclipse.emf.common.ui,2.9.0.v20141013-0308,"org.eclipse.emf.common.ui",1645689062052
started,bundle,org.eclipse.emf.ecore,2.10.1.v20140901-1043,"org.eclipse.emf.ecore",1645689062053
started,bundle,org.eclipse.emf.ecore.xmi,2.10.1.v20140901-1043,"org.eclipse.emf.ecore.xmi",1645689062067
started,bundle,org.eclipse.emf.edit,2.10.1.v20141013-0308,"org.eclipse.emf.edit",1645689062068
started,bundle,org.eclipse.emf.edit.ui,2.10.1.v20141013-0308,"org.eclipse.emf.edit.ui",1645689062068
started,bundle,org.eclipse.gef,3.7.2.v20111106-2020,"org.eclipse.gef",1645689062069
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1645689062069
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1645689062070
started,bundle,com.collabnet.subversion.merge,4.1.0,"com.collabnet.subversion.merge",1645689062070
started,bundle,org.tigris.subversion.clientadapter,1.10.3,"org.tigris.subversion.clientadapter",1645689062071
started,bundle,org.tigris.subversion.subclipse.core,1.10.12,"org.tigris.subversion.subclipse.core",1645689062072
started,bundle,org.tigris.subversion.subclipse.ui,1.10.13,"org.tigris.subversion.subclipse.ui",1645689062073
started,bundle,net.sf.jasperreports,5.0.4,"net.sf.jasperreports",1645689062074
started,bundle,org.eclipse.m2e.logback.configuration,1.4.1.20140328-1905,"org.eclipse.m2e.logback.configuration",1645689062074
os,sysinfo,,,"win32",1645689062077
arch,sysinfo,,,"x86",1645689062077
ws,sysinfo,,,"win32",1645689062077
locale,sysinfo,,,"en_ID",1645689062077
processors,sysinfo,,,"4",1645689062077
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1645689062077
java.runtime.version,sysinfo,,,"1.8.0_181-b13",1645689062077
java.specification.name,sysinfo,,,"Java Platform API Specification",1645689062077
java.specification.vendor,sysinfo,,,"Oracle Corporation",1645689062077
java.specification.version,sysinfo,,,"1.8",1645689062077
java.vendor,sysinfo,,,"Oracle Corporation",1645689062077
java.version,sysinfo,,,"1.8.0_181",1645689062077
java.vm.info,sysinfo,,,"mixed mode",1645689062077
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1645689062077
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1645689062077
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1645689062077
java.vm.specification.version,sysinfo,,,"1.8",1645689062077
java.vm.vendor,sysinfo,,,"Oracle Corporation",1645689062077
java.vm.version,sysinfo,,,"25.181-b13",1645689062077
activated,view,org.eclipse.wst.common.snippets,1.2.100.v201103281740,"org.eclipse.wst.common.snippets.internal.ui.SnippetsView",1645689079759
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1645689081247
started,bundle,org.eclipse.datatools.connectivity,1.2.3.v201108101135,"org.eclipse.datatools.connectivity",1645689082533
started,bundle,org.eclipse.datatools.connectivity.ui,1.2.1.v201010211430,"org.eclipse.datatools.connectivity.ui",1645689082538
started,bundle,org.eclipse.datatools.connectivity.ui.dse,1.1.4.v201004270430,"org.eclipse.datatools.connectivity.ui.dse",1645689082539
started,bundle,org.eclipse.datatools.enablement.ingres.ui,1.0.0.v201105270214,"org.eclipse.datatools.enablement.ingres.ui",1645689082589
started,bundle,org.eclipse.birt.report.data.oda.jdbc.dbprofile.sampledb,3.7.1.v20110905,"org.eclipse.birt.report.data.oda.jdbc.dbprofile.sampledb",1645689082602
started,bundle,org.eclipse.datatools.connectivity.apache.derby,1.0.102.v201107130538,"org.eclipse.datatools.connectivity.apache.derby",1645689082683
started,bundle,org.eclipse.datatools.enablement.msft.sqlserver,1.0.1.v201001180222,"org.eclipse.datatools.enablement.msft.sqlserver",1645689082862
started,bundle,org.eclipse.datatools.enablement.sqlite,1.0.0.v201002041100,"org.eclipse.datatools.enablement.sqlite",1645689082871
started,bundle,org.eclipse.datatools.enablement.sybase.asa,1.0.1.v200906020900,"org.eclipse.datatools.enablement.sybase.asa",1645689082878
started,bundle,org.eclipse.datatools.enablement.sybase.ase,1.0.1.v200906020900,"org.eclipse.datatools.enablement.sybase.ase",1645689082880
started,bundle,org.eclipse.datatools.connectivity.sqm.core,1.2.3.v201109022323,"org.eclipse.datatools.connectivity.sqm.core",1645689083105
started,bundle,org.eclipse.datatools.connectivity.sqm.core.ui,1.2.0.v201002281800,"org.eclipse.datatools.connectivity.sqm.core.ui",1645689083109
started,bundle,org.eclipse.datatools.connectivity.sqm.server.ui,1.1.100.v201009280455,"org.eclipse.datatools.connectivity.sqm.server.ui",1645689083127
started,bundle,org.eclipse.datatools.enablement.ingres,1.0.0.v200906111150,"org.eclipse.datatools.enablement.ingres",1645689083140
started,bundle,org.eclipse.datatools.enablement.sybase,1.0.1.v200906020900,"org.eclipse.datatools.enablement.sybase",1645689083141
started,bundle,org.eclipse.datatools.modelbase.sql,1.0.4.v201002250945,"org.eclipse.datatools.modelbase.sql",1645689083202
opened,view,org.eclipse.datatools.connectivity.ui.dse,1.1.4.v201004270430,"org.eclipse.datatools.connectivity.DataSourceExplorerNavigator",1645689083349
activated,view,org.eclipse.datatools.connectivity.ui.dse,1.1.4.v201004270430,"org.eclipse.datatools.connectivity.DataSourceExplorerNavigator",1645689083420
opened,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1645689089772
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1645689089814
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.AllMarkersView",1645689091135
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.AllMarkersView",1645689091169
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1645689092570
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1645689092582
opened,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1645689092658
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1645689092686
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1645689092834
activated,view,org.eclipse.wst.common.snippets,1.2.100.v201103281740,"org.eclipse.wst.common.snippets.internal.ui.SnippetsView",1645689094295
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1645689096543
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1645689101058
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1645689102842
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1645689103058
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1645689103511
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1645689103512
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1645689103512
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1645689103513
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1645689103514
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1645689103514
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1645689103515
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1645689103516
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1645689103516
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.609.v201103082016,"org.eclipse.jst.ws.creation.ui",1645689103517
